tid,toi,toipfx,tfopwg_disp,st_tmag,pl_orbper,pl_tranmid,pl_trandurh,pl_trandep,rowupdate
283722336,1469.01,1469,KP,4.6278,3.0929386,2460606.251961,0.8776502,254.2319025,2025-05-02 16:23:22
136916387,2011.01,2011,KP,5.0494,11.5778362,2458631.767617,3.8772499,217.3994918,2024-01-31 16:02:01
261136679,144.01,144,CP,5.1054,6.267832,2460011.550653,2.789,321.0,2023-04-04 16:02:02
332064670,1773.01,1773,KP,5.2058,0.7365463,2458870.692828,1.5732208,384.6733121,2024-11-26 16:02:02
188768068,1462.01,1462,CP,5.8961,2.1779407,2460338.523071,2.098,110.0,2024-04-02 10:08:02
178155732,396.01,396,CP,5.9053,5.9739124,2459120.537697,3.1235464,232.5621027,2021-12-02 16:02:01
130181866,1726.01,1726,CP,6.2683,7.107934,2458845.373051,3.440833,501.6058242,2024-11-15 16:02:02
407966340,554.01,554,CP,6.4386,7.0491608,2458442.61543,3.5024531,300.5227138,2025-04-21 12:03:49
87216634,5789.01,5789,CP,6.5715,12.9256051,2459776.255982,1.691,790.0,2025-10-14 12:04:16
21832928,2128.01,2128,CP,6.6813,16.3413889,2458987.266354,5.3764481,372.0970618,2025-04-20 12:03:53
397362481,6276.01,6276,CP,6.7213,6.2031608,2460017.117135,1.5987379,210.8404349,2025-07-09 16:00:02
441420236,2221.01,2221,CP,6.755,8.4536777,2459041.281746,3.5738006,2872.2887525,2025-08-29 16:00:02
317548889,480.01,480,CP,6.7799,6.8659582,2458469.562003,3.455761,334.0145589,2024-09-10 10:08:02
256364928,4470.01,4470,KP,6.8481,2.2185748,2459770.410421,1.8233621,25854.2144559,2023-03-15 16:02:02
82308728,1821.01,1821,KP,6.9859,9.4893231,2459664.085255,2.757,940.0,2022-08-16 10:10:01
279741379,186.01,186,CP,6.9934,35.6133889,2460985.704053,3.0534335,1397.6487373,2026-04-09 16:00:01
200723869,257.01,257,CP,7.0286,18.3877081,2459121.270086,6.405153,1191.0283192,2024-09-09 10:08:01
394137592,120.01,120,CP,7.1062,11.535076,2458332.082805,8.555958,2389.90616,2021-12-08 10:10:01
420814525,5972.01,5972,KP,7.1274,3.5247546,2460552.87974,2.958,17803.0,2024-11-05 10:08:02
436873727,4641.01,4641,CP,7.1323,22.0933922,2460239.908686,5.4095076,2633.6009111,2025-04-21 12:03:49
55092869,664.01,664,KP,7.3212,4.7359232,2459988.88442,7.0819612,2338.8745559,2023-04-13 10:10:01
441462736,197.01,197,CP,7.3566,14.2811731,2460927.616153,8.571366,762.9376583,2026-02-26 16:00:02
22221375,652.01,652,CP,7.3635,3.9846589,2460013.591733,2.146,445.0,2023-04-12 16:02:02
290348383,1099.01,1099,CP,7.3661,6.441006,2460140.220927,1.812,914.0,2023-12-03 12:03:15
403224672,141.01,141,CP,7.384,1.0082361,2460178.671412,1.41,228.0,2023-11-15 16:02:02
91987762,1898.01,1898,CP,7.4098,45.5221456,2459531.564033,4.3839392,3028.5453279,2024-09-17 10:08:02
271478281,2194.01,2194,CP,7.4259,15.3419095,2460141.982191,2.736,683.0,2023-12-03 12:03:15
263003176,130.01,130,CP,7.4371,14.3392144,2458336.557651,4.6064739,392.6346872,2024-09-18 10:08:02
286923464,1271.01,1271,KP,7.4556,6.1349783,2459657.449461,5.661,3860.0,2022-05-20 10:10:02
392681545,6054.01,6054,CP,7.4961,7.4903271,2459913.121951,5.800713,225.5988767,2025-01-17 12:03:04
